amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
240,"Enchroma glasses, the Chuck fund.",U.S. Dollar,,of $579 goal,3,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/11Mx98
400,Help us allow VFW to see COLOR!!,U.S. Dollar,,of $500 goal,7,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/b1MGA5
"1,740",Helping “Our HERO”...Theresa Brainard,,,,,"Helping “ OUR HERO ”... Theresa Brainard Our DEVOTED family member and AMAZING friend to many, is
    currently recovering from foot surgery, as well as five shoulder
    surgeries, and will shortly face a total knee replacement. Being
    unable to work during this difficult time, we all know the financial
    strain it can cause. So please, come out in support of a woman that
    we all know has supported each and every one of us!!! “Our Family”, Our Friend”, “ OUR HERO !!!” Theresa Brainard Please join us Saturday June 2nd, 2018 @ Famous Tim’s Tavern from
  7-9pm @ 5 Polly Drummond Shopping Center Newark, DE Tickets: $20 per person/ includes beer & pizza 50/50, Chinese & Silent Auction!!! Stay tuned for previews!!! 100% of proceeds to assist with Theresa’s medical cost!!! Contacts: aleciagharrar@gmail.com ( Alecia) brainard1@comcast.net (Rose) 302-999-0098.                   (Geri) pearljamfan_44@hotmail.com (Jill)",https://fundrazr.com/f1LlX5
655,"Heart  to Heart, Louie Shaw",U.S. Dollar,"Dec 6, 2018",of $75k goal,4,"My name is Joe Carpenter. I live in Chugiak Alaska, a short ride from
  Anchorage, Alaska.  My wife, Leslie and I are spearheading a fund to
  help our very wonderful close friends, Louie and Kimmie Shaw of
  Chugiak also. Louie is enroute by air medivac  today from Anchorage to
  Califorina to be entered into Cedars Sinai Hospital heart recipient
  program. Yes were talking heart transplant. Louie has been managed for
  some 18 plus years by Cardiologist at Alaska Heart Institute for heart
  failure following a viral infection that affected his heart many years
  ago. Treatment had been very sucessfull in these years gone by. Louie
  has lived life to its fullest pursuing all the passions of family,
  friends, hunting ,fishing and work on the North Slope oil fields with
  vigor. In the last six months his heart started changing, but not for
  the better. Simple tasks became laborsome with shortness of breath,
  fatigue and a host of related heart failure symptoms. He did not
  return to work in May as he felt unable to do his job there. His
  Cardiology team confirmed his heart was failing substantially. The
  Doctors at Heart Institute began the proccess to enroll him for heart
  reciepent program at Cedars Sinai. Saturday June 30th, Louie is on his
  way by air medivac to that hospital to enter thier program. We know that this is the best path for his survival in this
  downward turn of events in his heart failure. Cedars is the one of the
  premier facilities in the nation for this procedure. Louie is going
  there to wait for the gift of life. He has a great health insurance
  program that will meet most of his medical financial needs. Kimmie,
  his wife will need to remain in Los Angles for weeks to come. In
  recovery, Louie will need to reside there for possibly months.
  Financal obligations here at home in Alaska will not cease to
    be. THE PURPOSE OF THIS FUNDING PROJECT ARE ; 1.
  Partner with Louie and Kimmie to meet thier home away expenses in Los
  Angles.  2. Sustain all their financal obligations here at home in
  Alaska. 3. Assist with family members travel to them at needed times. This is a mouthful if you think about it. We want you to JOIN
  US to come alongside these two wonderful people and bolster
  their oncoming need. Louie and Kimmie have agreed to this project and
  express to you in advance a HEART felt Thank You for your
  considerations. Louie has said to me many times in the last weeks,
  that God has always been there to meet thier needs in life and Louie
  is certian God will be there for them now. Louie has always lived a
  lifesyle to be there for others. He has often helped me with many
  things. There are many of you out there who can say the same. Myself,
  Willy Pomeroy from Chugiak & Scott Veitmier from Wasilla will co
  manage this fund at Credit Union 1/ Eagle River. The account name
    "" HEART 2HEART/ LOUIE SHAW"". .    will
  hold from donations  and inturn be ditrbuted to meet Louie & Kims'
  needs. You may also Depost directly at this branch or any CU1 for this
  need if you would rather. Your gracious consideration is requested!  A LIFE OF GIVING IS ONE
  WORTH LIVING! ALL WHO KNOW THIS MAN, KNOW HE IS MORE THAN WORTHY OF OUR HELP NOW,
  PLEASE DONATE. OUR INITIAL GOAL IS $75,000..... THANK YOU IN ADVANCE JOE & LESLIE CARPENTER   (we will udate this site with Louies
  status regularly)",https://fundrazr.com/71N1O0
"4,804",Jack Friends Against Cancer - ACT NOW!,U.S. Dollar,,of $100k goal,58,"DONATE As
  much or as little as you can - It will all help and it all matters to Jack! ""All"" funds will be used to offset any treatment costs not
  covered by medical insurance and to help Jack and his family manage
  additional financial concerns such as ancilliary bills/expenses
  related to his care and potential loss of income while he is being
  cared for. 100% of any funds left over will be donated to a child cancer
  (Neuroblastoma) charity - to continue the fight for other children. GO VIRAL! Share this page with as many people as you can! By ""Going Viral"", you will radically increase the odds of
  Jack getting the help that he needs. There are many good people out
  there that may care enough to help - we just have to let them know
  that they can - and that it will make all the difference! MY THOUGHTS While our world has been so harshly upended, I will also tell you
  that I believe, in my heart of hearts that HE WILL get through this! Though Jack's life has suddenly become a life of hospitals & of
  change, that he has demonstrated resilience, courage & a tolerance
  for his situation that most likely, you or I could not. He is a little
  trooper who has still not lost his goofball nature! Love always, Amanda aka Mom",https://fundrazr.com/friends-of-jack
"1,020",Please Help Geni Pay Her Medical Bills,,"Aug 1, 2018",,,"Geni was excited to be a new mom to her little sweet boy born a few
  weeks premature, but healthy! Within a few days, Geni was having some
  unusual issues and returned to her doctor. She was resting and doing
  all the things the Dr told her to do, but she kept feeling worse. So
  she decided to get another opinion and see another Dr, who had a few concerns. After 3 1/2 weeks post-baby, tests showed her liver was enlarged and
  excess fluid was in her abdomen requiring a hospital stay to determine
  the cause. More tests, and the determination to send Geni by ambulance
  to Salt Lake City to see specialists and more intense testing. Dr's in
  Salt Lake conferred with a specialist at Stanford U Hospital, and it
  was determined she had all the markers of budd-chiari , a very rare disorder that causes blood clots and
  liver damage. Geni was put on blood thinners hoping to break the clots
  that way, but had to have a procedure through her neck and groin with
  medication shot directly onto the clots to break it up, These
  procedures were hard on Geni, and took hours in the OR. Geni has been
  in the hospital over 2 weeks dealing with recovery. She has been
  unable to work, and will require more time to recover at home. Her
  family and boyfriend have been with her through most of this time
  missing work themselves. She really needs a helping hand literally and
  figuratively right now!",https://fundrazr.com/61MpCe
"2,080",Please help Maria beat Syringomyelia,Canadian Dollar,"Aug 9, 2018",of $10k goal,25,"My family and I have made this campaign in the hopes of not
    only receiving support but to also gain awareness for a supposedly
    ""rare"" disease. Since I was diagnosed, I have gotten in
    touch with patients from all over the world who have the same
    condition, and most people are misdiagnosed, or their symptoms are
    disregarded for years (as was my case). Creating awareness is so
    important to help others recognize signs and get proper treatment in
    time. Thank you for checking out my campaign, and I would be so
    grateful for your contribution! Have you ever heard of Arnold Chiari Syndrome and
    Syringomyelia? Probably not; I had no idea what it was until I was diagnosed in 2016! In my best efforts to sum it up, I have a malformation in the base of
  my skull that compresses my cerebellum and medulla. As a result,
  cerebral fluid is trapped inside my spinal cord, which is slowly
  killing off nerves that are vital for my organs and extremities to
  function properly. What are the symptoms and repercussions? The most severe outcome is tetraplegia. There are many symptoms, but
  some are chronic neck and back pain, loss of muscle strength, vertigo,
  migraines, partial or total paralysis of my arms, legs and torso. At
  the moment, I have already lost sensitivity to heat or cold (I can
  burn myself easily), am losing reflexes in my arms and legs, motor
  control and strength, and I live in constant neck and back pain, let
  alone face annoying headaches. Surgery needs to be done as soon as
  possible to prevent my symptoms from getting worse before it is too late. Is there a cure or treatment? Apparently, there is no cure. However, its progression can be
  controlled or even reversed through a surgery that consists of cutting
  the Filum Terminale - a ligament that connects the spinal cord and spine. The CHIARI Institute located in Barcelona is the pioneer of this
  minimally invasive surgical procedure. I went to Spain in May with my
  parents for a consultation, and fortunately, their surgical team
  confirmed that I am a candidate for treatment! The cost of the surgery
  abroad is very expensive (approx $44,000), however, I have been lucky
  enough to find a neurosurgeon in Brazil who is offering the same
  treatment. Unfortunately, this surgery is not offered in Canada. The second and most common treatment in attempts to control the
  disease is decompressive craniectomy brain surgery. I faced this
  high-risk and extremely painful surgery in 2016, but unfortunately, my
  symptoms have continued to progress. For more information on Chiari and Syringomyelia and its treatment,
  click here: https://institutchiaribcn.com/en/diseases-we-treat/syringomyelia/ https://institutchiaribcn.com/en/diseases-we-treat/arnold-chiari-syndrome/ http://www.chiari.ca https://www.mayoclinic.org/diseases-conditions/syringomyelia/symptoms-causes/syc-20354771 Testimonials from patients who have had their surgeries done: https://institutchiaribcn.com/en/arnold-chiari-testimonials/",https://fundrazr.com/31Lr5e
"3,370",Support for Judith's medical costs,U.S. Dollar,"Nov 1, 2018",of $6k goal,24,"Hello everyone.  We are asking for your help supporting Judith Pipher
  as she goes through chemo treatment.  Wife and mother, teacher and
  friend.  After 4 major surgeries she is now having her 5th round of
  chemotherapy and confined to a wheelchair.  After Jeff's open heart
  surgery he returned to work part time but is now home with Judith as
  her full time caregiver. The medical costs are extraordinary with no
  end in sight.   All donations will  be used to keep the  insurance
  coverage from lapsing, co-pays, prescriptions and rent. She has been responding well to the latest treatment and scheduled
  for her next round on June 28th.  Thanking you for helping us do
  everything possible to make sure she gets well. Please share the link with everyone and know how much your help means
  to of us",https://fundrazr.com/81LLn0
"2,824",Please Help This Kid To Get A Chance to Live,U.S. Dollar,,of $40k goal,39,"My Dear Friends, I don't even know where to start... All of you or most of you know my story. Today, Monday the 25th, I woke up as usual with million things in my
  head... my blood work was bad on Friday... tons of work ahead of me...
  and billion random things that we think are so important... And then
  about 7 am after talking to my mom I found out that one of my little
  nephews was just diagnosed with rear disease. 4 years ago I was
  diagnosed with the same thing... aplastic anemia (form of bone marrow
  failure). That moment felt like as if the floor beneath me just
    dropped as if I was an elevator, yet I was standing. All my worries
    and thoughts became so insignificant... His name is Vasyl (on the right) . He is only 11 years old. He need
  bone marrow transplant as soon as possible. Fortunately he has 10 out
  of 10 donor match, his brave little brother Mark (one on the left).
  But unfortunately he lives in Ukraine... and his parents just can't
  afford this procedure that cost 40 000 Euro.  Can you imagine how is
  it to know that you can help your child but can't afford it... I get
  chills even thinking about it... So here I am asking for your help. If everyone who read this
    post can donate at least $5 (price of our everyday coffee) TOGETHER
    we can try to make a difference in his life. PLEASE SHARE THIS POST. I am very new to this campaign thing so forgive me if I made a
    mistake somewhere and please contact me if you have ANY questions. Thank you for your time and your help! Sincerely, Olga Sapunkova",https://fundrazr.com/31Mve7
320,Help Lauren get something off their chest!,U.S. Dollar,,of $12k goal,8,"About me: I’m a passionate animal lover from Roanoke,
  VA working at a nonprofit animal welfare organization in the
  Shenandoah Valley (yep, the same one the sad song is about). I was
  privileged as a young adult to spend time in safe spaces, and I found
  the latitude to question my gender. While I was described as a tomboy
  in my childhood, there is perhaps more to the story as an adult. The Challenge: I am deeply rooted to nonprofits and
  cause-based work, leaving little time and energy left towards pure
  capital gain. That said, over my years of questioning, researching,
  listening to trans people’s personal journeys, and amplifying voices
  where and when I can, surgery is going to be part of my transition to
  greater comfort in my own body and my own skin. While I find it
  difficult to put into language the nuance of how I feel in my body,
  the long and short of it is that I’m very uncomfortable with some of
  its features that cannot be the shape I feel they should without top surgery. The Goal: The purpose of this fundraiser is to raise
  money to pay for my top surgery. Donations will go directly to getting
  something off my chest so I can continue my work in the nonprofit
  sector with animals who have no voice otherwise. I humbly ask for your consideration among
  so many other worthy causes. A few dollars, a few cents, is deeply
  appreciated! Every contribution counts! No donation is too small!",https://fundrazr.com/boobsbegone
